,details,Etat,Marque,Prix,Adresse,Image_link
0,"<h1 class=""listing-item__header"">
    MacBook Air 2019
</h1>",D'occasion,Apple,240 000 ,Amitié,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6314e41a77a12209a20439d406bc358f/-/horizon-files-prod/ed/picture/qxjpvq44/c389fb4f6fbe4ab8c21f1f851649b5324f5ede77.jpg
1,"<h1 class=""listing-item__header"">
    dell 3189 Duo core ram 8
</h1>",Venant,Dell,85 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/272943d69a4a9b764f40ce999b8c8070/-/horizon-files-prod/ed/picture/qenqkgxj/78f64b989e6786d2096ada846b120881ac01ca03.jpg
2,"<h1 class=""listing-item__header"">
    Lenovo thinkbook 14s yoga
</h1>",Venant,Lenovo,390 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e683326a28f0d979bb23cc3f91080927/-/horizon-files-prod/ed/picture/q9mjqxej/965f69e89219de6a0b6665b878f72853bcdf5014.jpg
3,"<h1 class=""listing-item__header"">
    iMac 24 pouces M4 16GB SSD 512
</h1>",Neuf,Apple,1 599 000 ,Fenêtre mermoz,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09a0c72b9d3ac7eed94e4804784a9ea3/-/horizon-files-prod/ed/picture/qrz8072m/88d07b8416cbc7dd179130554bae98f83e8ada04.jpg
4,"<h1 class=""listing-item__header"">
    ✅ Dell NVIDIA RTX 12Go -  i7 Gamer- Ram 32Go-17""
</h1>",Venant,Dell,750 000 ,Hlm,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d967d9d951d3f642ad39605eb62be7a0/-/horizon-files-prod/ed/picture/qwep706g/36ccd49f0e4e309217a522b6d6b21cf74b31dfdc.jpg
5,"<h1 class=""listing-item__header"">
    LENOVO THINKBOOK
</h1>",Venant,Lenovo,330 000 ,Parcelles Assainies,https://i.roamcdn.net/hz/ed/listing-thumb-543w/476377e673dc82947fe162047156c3d4/-/horizon-files-prod/ed/picture/qwep7pwm/a44006e20e9a0d4cc00c0f205d58c795836563b6.jpg
6,"<h1 class=""listing-item__header"">
    HP Elitebook 840 G9
</h1>",Venant,HP,470 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a553d3455954e4f79288fd6b33789a46/-/horizon-files-prod/ed/picture/q2j069vk/ae930edc95ba472effa8add23bf8c9a594897be6.jpg
7,"<h1 class=""listing-item__header"">
    Dell latitude 5430 rugged
</h1>",Neuf,Dell,690 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d19845b9c610165a660e7cfce596921a/-/horizon-files-prod/ed/picture/qxjpv994/a8101064719f93a0f6ff260a34d0e3b3c9c7e6b3.jpg
8,"<h1 class=""listing-item__header"">
    HP Elitebook MT45 Rayzen Pro
</h1>",Venant,HP,175 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5cf39ff05c69e3734041c0043bc2aa49/-/horizon-files-prod/ed/picture/qj4qwgr6/79239698368b4fb427ab051a8cbe8a8e21cd67dd.jpg
9,"<h1 class=""listing-item__header"">
    HP ZBOOK 14 Firefly G9 cor i5 de 12th
</h1>",Neuf,HP,400 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f0916a5962c88369a77fa0f65fdfec70/-/horizon-files-prod/ed/picture/q44nm4qe/7b46bf61204fc3c8e9ced78ab0a014efc382cea8.jpg
