,details,Etat,Marque,Prix,Adresse,Image_link
0,"<h1 class=""listing-item__header"">
    SAMSUNG SMART TV 55 POUCES DU7010 LY 4K UHD
</h1>",Neuf,Samsung,400 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d6d2643797515e378c256a0239c87d0/-/horizon-files-prod/ed/picture/qgqwj4de/db9ad0f979f52e54219b4e8722d71258c33757f9.jpg
1,"<h1 class=""listing-item__header"">
    SMART TV FINIX 55 POUCES WIFI ANDROID UHD
</h1>",Neuf,Autre,265 000 ,Keur Massar,https://i.roamcdn.net/hz/ed/listing-thumb-543w/aeb5b61d4aeabb3b57322324adafd673/-/horizon-files-prod/ed/picture/q2j06q8k/060d23b0380b446aa3e0f8eec306a38c526392dc.jpg
2,"<h1 class=""listing-item__header"">
    LED SMART TV SAMSUNG DU7010 UHD 65 POUCES 4K BON PRIX
</h1>",Neuf,Samsung,750 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/123b82b50cd5b23b23d1df44f63e14b0/-/horizon-files-prod/ed/picture/qpdm9w4x/06a5e66e0cea873ca29ef771be5c5cbf3a459ff0.jpg
3,"<h1 class=""listing-item__header"">
    TÉLÉVISEUR TCL 65 POUCES  4K UHD ANDROID GOOGLE TV 189 CM
</h1>",Neuf,TCL,400 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6ec297fd908ff73bc9fa5db2b64cf04c/-/horizon-files-prod/ed/picture/q9mj69w0/d6b312b19b1f2a0a8077e34d9fa5e34f4414787d.png
4,"<h1 class=""listing-item__header"">
    Téléviseur deska 55 Smart Tv
</h1>",Neuf,Autre,195 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2b00f78ffc13c5b563f037386443b9b/-/horizon-files-prod/ed/picture/qde7mx52/3b669eacef9c0e88dbd7b1d46db0e79d210778cc.jpg
5,"<h1 class=""listing-item__header"">
    VIDÉO PROJECTEUR SMART PRO2 4K
</h1>",Neuf,Autre,95 000 ,Patte d‘oie,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d63320bf1135cb151feeea03afb9bb9/-/horizon-files-prod/ed/picture/qngpqz8v/0dbfc826da5dae3434f719c488aa290728dc095b.jpg
6,"<h1 class=""listing-item__header"">
    Smart TV QLED 4K UHD HDR de classe Q5 de TCL 43 pouces
</h1>",Neuf,TCL,160 000 ,Parcelles Assainies,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2ff922c5e47f34a0ed05a00938be0e0/-/horizon-files-prod/ed/picture/qrz8m555/c6f455d6d409aa842fde99491afeab3da43aacd3.png
7,"<h1 class=""listing-item__header"">
    Smart tv deska 32
</h1>",Neuf,Autre,75 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/908e6d9f635ae5172f9fe789d6f97500/-/horizon-files-prod/ed/picture/qgqweken/877097bccdf5c1ec027cf335b5a49093ff3fe442.jpg
8,"<h1 class=""listing-item__header"">
    ÉCRAN plat à vendre
</h1>",D'occasion,LG,200 000 ,Golf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d207aa42a2b60d399dec9e3897d3c7c/-/horizon-files-prod/ed/picture/q6xd94p4/7df65a142139c75ad0eb0460a696e383859297d3.jpg
9,"<h1 class=""listing-item__header"">
    SAMSUNG 75 POUCES SMART TV 4K UHD
</h1>",Neuf,Samsung,900 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8d599aee6617255d2663fc338b85f25/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
10,"<h1 class=""listing-item__header"">
    Télécommande lg smartv le meilleur de ça génération
</h1>",Neuf,LG,30 000 ,Dieuppeul,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de10a702760827f22261bb994af4c7da/-/horizon-files-prod/ed/picture/q2j05dr2/42871194d8d1ce87c7a86900948a618aa5d5205d.jpg
11,"<h1 class=""listing-item__header"">
    Barre de son LG SJ3 Bluetooth Sans fil 300w
</h1>",Neuf,LG,145 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df55570ea3947c98b7f5d76847967a94/-/horizon-files-prod/ed/picture/q689wvv/501ab197c68312f1bebcbf53756bba292fdd35d9.jpg
12,"<h1 class=""listing-item__header"">
    SMART TV HISENSE 32"" (2024)
</h1>",Neuf,Hisense,100 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/00483f4539de41d8de4ab5da81019d8f/-/horizon-files-prod/ed/picture/qngpv68w/fbf2b007d463b9e327ce16637d98f590655d6b57.jpg
13,"<h1 class=""listing-item__header"">
    Clé Box TV Fire Stick Lite
</h1>",Neuf,Amazon,30 000 ,Grand-Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3f498ec2ee5218da92cae008cfa282a/-/horizon-files-prod/ed/picture/qk9dnzx/a6f6bb5dd32179237352b0323380403a283147d2.jpg
14,"<h1 class=""listing-item__header"">
    MINI CHAINE LG XBOOM 360 PORTABLE 12HR BATTERIE RP4
</h1>",Neuf,LG,189 000 ,Plateau,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65a05e615aa13db774dc433528cc9ea9/-/horizon-files-prod/ed/picture/qgqwe0zn/c36d1a4b2e8b737af507f9dc28ce15b9f9b920ca.jpg
15,"<h1 class=""listing-item__header"">
    Support mural tv mobile
</h1>",Neuf,Autre,20 000 ,Sicap Liberté,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c31abb90093f837b38474d6dd298481/-/horizon-files-prod/ed/picture/migrated/qd0k0zm/b069885697b80d73a4eff4b809db3c7cd78a348e.jpg
