details,Etat,Marque,Prix,Adresse,Image_link
"<h1 class=""listing-item__header"">
    Samsung galaxy S23 + 256GB 8GB ram 2sim
</h1>",Venant,Samsung,275 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f7c5fe0405bec246c22ee794ababd5c/-/horizon-files-prod/ed/picture/q44nvwxp/8f898135d9a295aa637e91fe41d245f51a663e2e.jpg
"<h1 class=""listing-item__header"">
    Samsung galaxy S25ultra 256go
</h1>",Neuf,Samsung,770 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0e5719bff0e9ec378872d59fdd60113c/-/horizon-files-prod/ed/picture/qkr8e4kz/862213f8263ce9803b4e640ccb54c546d77164ec.jpg
"<h1 class=""listing-item__header"">
    Huawei mate X6 512 scellé
</h1>",Neuf,Huawei,960 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/431dd397a4fa88f2b31a541bec2cef7e/-/horizon-files-prod/ed/picture/qrz8epw2/cd043a7bcb911004a6880ec79efbee4891c31609.jpg
"<h1 class=""listing-item__header"">
    Samsung galaxy Z flip 5 256GB 8GB ram
</h1>",Venant,Samsung,285 000 ,Pikine,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5beaaed69b8f9395492f38ea876100df/-/horizon-files-prod/ed/picture/qxjpv0zj/656056928e9fbce3f3772a91ab5d1a9e84df3d5d.jpg
"<h1 class=""listing-item__header"">
    Google pixel 9 pro xl
</h1>",Neuf,Google,600 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a484805bb6bcfcc50ba38be9ae6b32e/-/horizon-files-prod/ed/picture/q56d0exr/e69d8e17260a86a1b9876c3a2807e7e085755123.jpg
"<h1 class=""listing-item__header"">
    14pro 256G
</h1>",Venant,iPhone,420 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d424883fec4f6f6cc55abd3193ad9cff/-/horizon-files-prod/ed/picture/q0g7jepg/6ad5d44f60ecbc6400c7b7135f32a6dc366d000b.jpg
"<h1 class=""listing-item__header"">
    iPhone 16 simple
</h1>",Venant,iPhone,580 000 ,Yoff,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8089a264c8721ef75aca8ebbcd994248/-/horizon-files-prod/ed/picture/qenv8ex9/4cf0120475aa421dabfbef1728eec7821c07b72f.jpg
"<h1 class=""listing-item__header"">
    IPHONE 7 plus 128G 75mille
</h1>",Neuf,iPhone,80 000 ,Gueule-Tapée,https://i.roamcdn.net/hz/ed/listing-thumb-543w/45ac41418a93997d6634b36e2bb8f8b6/-/horizon-files-prod/ed/picture/q0g75558/cb58507a63155b17a69ff9e4378862c6afdf8399.jpg
"<h1 class=""listing-item__header"">
    XR-256GB
</h1>",D'occasion,iPhone,120 000 ,Médina,https://i.roamcdn.net/hz/ed/listing-thumb-543w/122e55728b00584a034c6963cfbcd34f/-/horizon-files-prod/ed/picture/qv4w68jx/c503a210b9d17913c02e29010d7a53325f108a14.jpg
"<h1 class=""listing-item__header"">
    Tecno POP 8 _ 64gb RAM 3 meilleur prix
</h1>",Neuf,Tecno,52 500 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84f7beec2cbac783d3142dbb89f67682/-/horizon-files-prod/ed/picture/qq47x0v7/9ba3c4b4caf802f93008976fe2e8085421d8d19a.jpg
"<h1 class=""listing-item__header"">
    IPhone 11 128 giga
</h1>",Venant,iPhone,150 000 ,Castor,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5423c6c7ddb16b0fc597ea4c45603675/-/horizon-files-prod/ed/picture/qngpwpm0/2845b8c34de56bb0d31c1516df033c2bdd8debbf.jpg
